modelo,hit@1,hit@3,hit@5,mrr,hit@5_formal,hit@5_informal,hit@5_termo_em_portugues,nota_top1_com_resposta,nota_top1_sem_resposta,segundos_para_indexar,ms_por_pergunta,trechos_cortados
bm25,0.417,0.542,0.583,0.49,0.556,0.5,0.714,13.346,7.799,0.1,,
e5-small,0.875,0.958,1.0,0.913,1.0,1.0,1.0,0.854,0.808,61.7,559.9,3.0
e5-base,0.792,0.875,0.917,0.837,0.889,0.875,1.0,0.85,0.798,110.7,229.5,3.0
gemini-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.818,0.622,255.9,101.7,
gemini-2+glossario,0.917,0.958,0.958,0.943,0.889,1.0,1.0,0.83,0.623,255.9,111.6,
e5-small+glossario,0.875,0.958,1.0,0.913,1.0,1.0,1.0,0.868,0.807,61.7,559.1,3.0
